Name,Platform,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Genre
Twisted Metal: Head-On,PSP,79,45,8.2,50,Incognito Inc.,T,Simulation
LEGO Marvel Super Heroes,Wii U,82,8,8.0,80,TT Games,E10+,Action Adventure
Resident Evil: Revelations,PlayStation 3,74,30,7.5,289,Capcom,M,Action Adventure
Assassin's Creed: Revelations,PC,80,20,7.5,1298,Ubisoft Montreal,M,Action Adventure
Harry Potter and the Half-Blood Prince,Wii,60,35,5.7,13,EA Bright Light,E10+,Action Adventure
True Crime: New York City,PlayStation 2,60,47,7.7,75,"Luxoflux, Inc.",M,Action Adventure
Quantum Break,Xbox One,77,106,7.2,2154,Remedy Entertainment,M,General
Genji: Days of the Blade,PlayStation 3,55,46,6.1,41,Game Republic,T,Action Adventure
Shark Tale,PlayStation 2,69,30,6.0,6,Edge of Reality,E,Action
The Lord of the Rings: Conquest,PlayStation 3,54,45,7.1,71,Pandemic Studios,T,Action Adventure
Ace Combat: Assault Horizon,PlayStation 3,77,28,6.8,99,Project Aces,T,Action
DreamWorks Madagascar: Escape 2 Africa,DS,55,6,4.4,5,Amaze Entertainment,E,Action
Pirates of the Caribbean: At World's End,PlayStation 3,55,24,7.0,32,"Eurocom Entertainment Software, Eurocom",T,Action Adventure
Beyblade VForce: Ultimate Blader Jam,Game Boy Advance,,,7.8,4,Takara,E,Action
Indiana Jones and the Staff of Kings,Wii,55,32,7.0,32,Artificial Mind and Movement,T,Action
Star Wars Episode III: Revenge of the Sith,Game Boy Advance,73,13,8.0,20,Ubisoft,E10+,Action Adventure
Ultimate Spider-Man,PlayStation 2,74,52,8.2,116,Treyarch,T,Action
Monster Hunter Generations Ultimate,Switch,80,52,8.6,161,Capcom,T,Role-Playing
Ben 10: Protector of Earth,PSP,60,4,7.6,37,High Voltage Software,E10+,Action
LEGO Dimensions,Xbox One,80,12,7.1,33,Traveller's Tales,E10+,Action Adventure
James Cameron's Avatar: The Game,Wii,60,19,4.0,16,"Ubisoft, Ubisoft Montreal",T,Action
The Lord of the Rings: The Two Towers,Xbox,79,17,8.2,19,Stormfront Studios,T,Action
Scooby-Doo 2: Monsters Unleashed,Game Boy Advance,46,5,tbd,,Altron,E,Action
Power Rangers: Dino Thunder,PlayStation 2,49,6,6.6,7,Pacific Coast Power & Light,E,Action Adventure
Dynasty Warriors 6,PlayStation 3,59,31,7.1,56,"Koei, Omega Force",T,Action
Spider-Man 2,PSP,67,43,6.5,15,Vicarious Visions,T,Action Adventure
Star Wars: Obi-Wan,Xbox,58,28,5.8,19,LucasArts,T,Action Adventure
F-14 Tomcat,Game Boy Advance,67,8,8.0,5,Virtucraft,E,Action
James Bond 007: Blood Stone,PlayStation 3,65,49,7.4,65,Bizarre Creations,T,Action
Transformers: Revenge of the Fallen,PlayStation 3,63,41,6.9,29,"Luxoflux, Inc.",T,Action
