Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
The Lord of the Rings: The Fellowship of the Ring,PlayStation 2,2002.0,Action Adventure,Black Label Games  ,0.59,0.46,0.0,0.15,1.2,59.0,19.0,4.7,32.0,Surreal Software,T
Enter the Matrix,Xbox,2003.0,Action,Atari  ,0.72,0.43,0.01,0.04,1.2,65.0,33.0,7.2,72.0,Shiny Entertainment,T
SpongeBob SquarePants: Revenge of the Flying Dutchman,Game Boy Advance,2002.0,Action,THQ  ,0.92,0.23,0.0,0.04,1.19,71.0,4.0,7.8,9.0,Vicarious Visions,E
Metal Gear Solid: Portable Ops,PSP,2006.0,Action Adventure,Konami  ,0.38,0.35,0.38,0.09,1.19,87.0,54.0,8.1,198.0,Kojima Productions,M
Hitman 2: Silent Assassin,Xbox,2002.0,Action Adventure,Eidos Interactive  ,0.76,0.38,0.0,0.05,1.19,84.0,23.0,7.1,23.0,Io Interactive,M
Spider-Man: The Movie,GameCube,2002.0,Action,Activision  ,0.86,0.27,0.01,0.04,1.19,76.0,14.0,7.3,14.0,Treyarch,E
LEGO Dimensions,PlayStation 4,2015.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.48,0.5,0.0,0.2,1.18,80.0,53.0,7.2,84.0,Traveller's Tales,E10+
LEGO Star Wars III: The Clone Wars,PlayStation 3,2011.0,Action Adventure,LucasArts  ,0.52,0.47,0.0,0.19,1.18,76.0,36.0,7.6,51.0,Traveller's Tales,E10+
LEGO Jurassic World,PlayStation 4,2015.0,Action Adventure,Warner Bros. Interactive Entertainment  ,0.41,0.56,0.02,0.19,1.18,70.0,46.0,7.1,114.0,TT Games,E10+
Red Dead Redemption: Undead Nightmare,PlayStation 3,2010.0,Miscellaneous,Rockstar Games  ,0.47,0.45,0.06,0.19,1.18,,,7.8,27.0,Rockstar San Diego,M
Sunset Overdrive,Xbox One,2014.0,General,Microsoft Studios  ,0.64,0.42,0.0,0.1,1.16,81.0,89.0,7.8,1469.0,Insomniac Games,M
Gauntlet: Dark Legacy,PlayStation 2,2001.0,Action,Midway Games  ,0.56,0.44,0.0,0.15,1.15,73.0,15.0,8.3,33.0,Midway,T
LEGO Star Wars III: The Clone Wars,3DS,2011.0,Action Adventure,LucasArts  ,0.61,0.44,0.0,0.09,1.14,67.0,25.0,6.5,35.0,Traveller's Tales,E10+
Action Bass,PlayStation,2000.0,Sports,Take-Two Interactive  ,0.64,0.43,0.0,0.07,1.14,51.0,8.0,,,Vingt-et-un Systems,E
Tenchu: Wrath of Heaven,PlayStation 2,2003.0,Action Adventure,Activision  ,0.44,0.34,0.25,0.11,1.14,79.0,33.0,8.6,65.0,K2 LLC,M
The Lord of the Rings: The Return of the King,Xbox,2003.0,Action,Electronic Arts  ,0.71,0.38,0.0,0.05,1.14,84.0,31.0,8.1,40.0,EA Games,T
Spider-Man 2,Xbox,2004.0,Action Adventure,Activision  ,0.82,0.26,0.0,0.04,1.12,83.0,60.0,8.4,53.0,Treyarch,T
Transformers: The Game,PlayStation 2,2007.0,Action Adventure,Activision  ,0.63,0.37,0.0,0.11,1.11,56.0,8.0,6.6,40.0,Traveller's Tales,T
LEGO Marvel Super Heroes 2,PlayStation 4,2017.0,Action,Warner Bros. Interactive Entertainment  ,0.33,0.6,0.0,0.18,1.11,73.0,61.0,7.0,75.0,TT Games,E10+
